Gene_Symbol,log2FoldChange
ARL13B,-0.759998993815534
RAD51B,-0.835204288976876
DNAJC1,-6.91097834537297
WDR81,1.4854371812278
IQCJ-SCHIP1,-0.668571510244312
DAAM1,1.21003527294147
EDIL3,0.657337117000982
ACADSB,1.16579626355242
UST,1.21540608064328
SCLT1,-1.10812057076472
XPO4,-0.650489127983761
ALDH3B1,1.02901851238821
GPX8,-1.05023596692252
EPG5,0.878264745752668
CDCP1,0.676225070546234
G0S2,-1.17153014481537
MARS2,-5.21045820597618
MXI1,1.55185836580366
SLAMF7,1.20704568132319
LTA4H,0.562521819204732
CACNG7,1.21394260900855
BORA,-1.19320340676964
SRSF2,-0.676951091901021
DPF1,-6.39850353713978
YEATS4,-0.76077062584354
AURKAIP1,-0.735308564240216
CBX1,-0.910772285740223
NEURL4,-5.79141056529239
MND1,-0.898596602138283
ARL14EP,1.05708262019899
GEMIN7,-5.49661941450716
RABL2A,1.12265777946727
MMP16,-5.74254409570161
USP11,0.837643990383015
SIRPA,-2.2467040910713
GMPPB,-0.853298410601532
ZFYVE26,0.604289437936378
TSNARE1,0.879144348060575
MAGEA6,-5.37156239036554
C20orf96,1.31490232253595
SLC17A5,0.974343833157015
EEF1AKMT1,-5.63494824243773
IL24,3.18243026712733
FAM111A,-1.11095381962463
PFKFB4,1.11650612744857
NPAS2,1.10220592251347
TRPC1,1.2848709409837
SAT2,0.622895218952625
MACROH2A1,-0.69828958235927
TXNL4A,-1.02444661575763
ZWILCH,-0.908481437488503
DNAJB4,1.12711235688525
LYRM9,2.08018087020821
DOHH,-6.2807378971637
APH1B,0.827378252214461
SLC7A5,-0.551992166141567
GPR153,0.914450580391142
RNASET2,1.27595474297251
CHRNA5,-1.33801187306961
ZKSCAN1,0.712439343681212
CEP83,-0.690329315269799
PHYKPL,1.35487971099323
CREM,-0.681343297553276
NFYA,-0.428049592376596
SLC25A37,0.926473637221793
ZNF699,-5.44657526528772
GINS4,-1.38499065563019
HDAC11,1.16801823482507
RPRD1A,-0.536677236044994
GOLPH3L,0.872009413923011
ACOT8,0.363170726180346
NEIL1,1.02865626445008
EHD1,-1.0126775147833
SEZ6L2,1.14591858974741
ESCO2,-1.62505607106217
PCDH7,-6.00365133069379
KRT80,-0.372859007569346
SCD5,-1.56933010145306
PPP1R15A,1.15733830920593
PAM,0.487160442906522
ZNF367,-1.23084264764059
ZWINT,-1.86812107885417
CYP4V2,1.07801167356669
DDX23,-0.582268077758212
REEP4,-0.662366009692635
EIF3H,0.868766977250202
POLE3,-1.003893644299
KIF20B,-1.43778527353073
ZZZ3,-5.61620727295187
ZNF143,-5.31862021255267
SPTLC3,0.853107779923708
SEMA4D,1.32363771087358
ABCB10,-0.871844403930134
VPS11,0.782519715357073
TRPM7,0.923384119974928
SWT1,1.21789022119086
IQGAP3,-0.791484489471626
ATG4C,-0.799548418251968
RMND1,0.776248447878903
PCMTD2,1.85514857216877
CREB5,-2.17073495488
CUL4B,1.11263541496068
PROSER1,-1.11567756377819
ZMYM3,1.18495024489841
CASZ1,-1.4221442272594
CCDC117,-1.11512498333275
ZNF211,0.825106327226821
PAGR1,-1.16437013922134
PINK1,0.807240972463871
TRANK1,0.815634466643617
H1-4,-1.21547773771831
PRC1,-0.917512573906279
EFNA1,1.92603121326732
EIF2D,0.544572615538286
SLC37A3,0.53775256777398
WDR59,0.848669721981602
CCDC169,1.76682570730366
CAPN3,6.93698018956395
ACBD4,1.12109672656308
TARS3,1.00117736379651
TAF5,-1.29975586331842
TMEM74,-6.10550721003487
ERICH1,6.97538455149772
KIF23,-1.71076952493466
MARF1,1.28895357181507
ZNF397,1.47085953840064
CACNB3,1.43723404949797
RANGAP1,-0.876886399466153
XYLT2,-5.56341372207292
FAM83D,-1.51991251546944
DLG3,-6.37582960461462
TMEM198,1.3792094882031
GOLGA2,0.647111902300659
GTF3C4,-0.678864243681224
BDH2,1.05749362189126
NUDCD1,-0.941787565630264
TM4SF19,1.98653517343684
TNC,-1.62584654497685
ID1,-0.836375482194945
RPS6KC1,0.981098395784704
C7orf31,0.899192367214555
HSF2,-1.15241991568601
CENPQ,-1.02350584966586
ITGB4,0.650215615783597
ARNTL,-5.46700212083529
DSTYK,1.6125524777338
HYLS1,-1.78027393321694
MRI1,0.882883803752965
LRP5L,-5.70557891020254
CKAP2L,-0.990512150856358
FGGY,0.784961857638693
VGLL3,0.881892007861199
PDGFC,-5.37537320812749
ZNF717,1.19762922046531
TSPAN10,1.74224730589978
LRRC8B,-2.01488584819883
FBXL18,-1.11800482935818
CASC4,0.50294733203294
MPZL2,-5.37918701288171
RCCD1,-0.640094201251307
CAV2,1.02459379823474
ZNF783,0.756073779776668
OLFML2A,0.91231081653175
MOCOS,-1.73986393633113
ALG14,-6.08355210393391
WDR1,0.758170792282529
SNTA1,0.904155763312975
PTX3,-0.80043532998071
FAM118B,-0.806403831046336
NEDD4L,1.13008392538727
PARPBP,-0.927078729381847
SPSB3,0.998377946993678
CNTNAP1,0.738241072819315
EMC9,-1.15169397277221
LINC02693,-6.43370059215044
PRXL2C,1.07967926188809
AKT3,-0.673981864129037
IDUA,1.28028338829347
HMGN5,-1.48452925186663
BHLHE41,1.91154492718664
C10orf88,0.666596009670287
AUNIP,-2.92017173893658
RMI1,-0.916837046124874
MINDY3,0.714002466599183
GRAMD1C,0.94756246565872
TRIM41,-0.8720868444305
ZNF322,0.666816727119304
TACC3,-1.66939683211705
GRAMD1A,1.14500885316097
LHPP,-5.49191608326868
PERP,0.726411476431544
THRAP3,-2.05229683368495
ATP9A,1.26603629120578
MED14,-0.455902497728609
MMP14,0.942014758354416
KLHL42,-0.613632288138729
TTF2,-0.592764346522418
IWS1,-0.476776820197122
RABIF,-0.814564288855427
POLD1,-1.34754201207288
TEX2,-1.22526536997321
OFD1,1.25882456494047
CLDN2,-6.53849653024638
RHOBTB3,0.753974043965878
ARID4A,1.67045387226044
TFB1M,1.00286903111051
MYH10,-0.986937017298124
FANCD2,-0.720116142536894
FAM71F2,1.76236210194817
NUP210,-1.13950576954843
STN1,0.700749617953395
NSD2,-0.71831220412953
NUDT8,-6.05704836198868
ABRAXAS1,1.03448374450782
POGLUT3,-1.28078648582898
C1orf52,-0.689963204543285
NASP,-1.01527792934555
H4C15,-0.946495487752107
CTPS1,-1.34007605640241
SFXN3,0.686426039175309
POLI,1.09307654030557
DDIAS,-1.53028177140384
CUEDC2,0.445939244165089
MLPH,1.2077873067425
NECTIN1,-5.72423037746639
ARSJ,-6.07227474880657
USB1,-0.646454782507006
YPEL3,1.44556456158971
MTF1,-5.29410902432475
DEGS1,-0.517847782994589
BRIP1,-5.85159828863886
BOLA3,-1.03077451396151
ARHGAP26,-0.691159352390793
SLC39A4,-5.7338038952496
PLEKHA2,-0.848269957598874
WDR19,1.46385444691366
BCL7C,-0.8388123395132
ADAMTS16,-2.19602795818536
DNA2,-2.11260991717571
TEAD2,-6.07133217726092
ARSG,1.62654833920645
SMTN,-6.29561470868841
TMPPE,-5.00703465586142
PLD3,1.33027816127325
SMG6,-5.26864113711688
KCTD18,1.16643213232474
FERMT1,0.836597209705241
NCAPD3,-1.48189470587708
ME1,0.989793873316001
DOCK6,1.26271785864213
ETV5,-0.576222334498124
RITA1,0.587258750781369
IFFO2,-0.754949682680536
ZCCHC14,0.934464716265741
GMPS,-5.65305743537638
WDR76,-1.19821953751886
ATP7A,1.49988252693304
PPP1R10,-0.450164193190358
VRK1,-0.684459817055112
CCDC96,-5.79505538748627
PAK1IP1,-1.30984210093882
CCDC6,0.513349412432646
TMEM63B,0.667113371956626
BMF,1.70882629248859
NUDT15,-0.775101250137017
ABCA2,0.795536199021673
SRSF4,-0.985723770862476
USP8,0.999077628115182
EXO1,-2.16914532044844
SIK1,1.11994305900615
TMEM120A,0.754464515292622
FNIP1,0.918218387469376
IQGAP2,-5.98083397483618
ZNF234,1.20710336818469
GNPTG,0.807196205182719
AP3D1,0.780291909437535
TOMM5,-0.92551206491898
MICAL3,-1.2639830614553
MNS1,-2.51007280548381
OTULINL,-0.840993001078969
SNRPD3,-0.415176904514141
ERRFI1,0.890161963881553
KANSL1,0.600606595112035
H2AC14,-1.43787030493005
ZXDB,0.868475891805594
RAB3D,1.20080356072009
ZNF865,1.50879663769497
APLF,1.50789606085242
ACAD10,0.551078625160494
TACC1,-1.34414143321752
TFPI,1.01226400343882
UFD1,-0.536383503892927
SPAG5,-0.968108385263654
STK3,-0.479119472936981
VMA21,-5.27811897002361
POLG,-0.585849036372479
ZNF337,0.849672397379619
ARHGAP19,-0.934744353492049
RAB2B,0.660311481190583
ZNF550,1.02576192585065
TXNDC5,-0.6033132390317
RAB27B,1.50840772490145
ISCU,0.612172316143126
HPS1,1.11506206180178
DEPDC4,-5.45072578086257
ZNF778,1.28576041710673
EIF4A2,0.761904944497062
HAUS7,-2.5102547591999
FAM72C,-1.7985176597611
KIF18A,-0.916834120827533
TSPAN33,-6.62288914398785
NRBP2,0.694837722564959
ARHGAP11B,-0.90332263814863
ANKRD28,0.58107892599716
CDKN3,-1.1361476210426
UHRF1,-1.88000430560161
SMCHD1,-0.460464605553018
CALHM3,0.793097025793341
SAFB,-0.634572751551919
MAP3K20,-2.50619933470396
CUL2,-6.30721077676646
PPM1H,1.22753887604721
SNIP1,1.18374336898247
SNPH,-0.884803587542646
ASAP1,0.553951089813385
ERLIN2,0.644770367946977
TRPC4AP,0.920766640977211
MCMBP,-0.719355575250247
E2F8,-1.8922976339927
RRP36,-0.791087279056567
SIRT5,1.26703233840468
PDCD6IP,0.774888048632226
BCAS3,0.831666438688432
GLS,1.22334564431219
PAQR6,1.19849058702494
SLC48A1,-5.1601339009839
DCAKD,-1.61971691232946
NKAPD1,0.607623745414566
C12orf66,1.36820943566529
BAG1,1.0626540863172
TTYH3,-2.09096058817367
TMEM135,1.055977113603
CTDSP2,0.651824082358079
TMEM138,-0.872312951826494
SDHAF4,0.724331170514217
NUDCD2,-0.751853580814886
DHX40,0.551429824163927
C17orf67,1.63307387794631
H2AC21,-1.486191182311
MAP3K8,2.10417497480423
CHMP7,-0.494833399131639
ZNF585B,0.708827148716857
VIM,0.785030893764637
AEN,-1.4145975316321
DNAH2,1.64254696224792
ROBO4,0.815582133289488
CCHCR1,-0.905398893634688
ABI1,0.271142960276894
SRPK2,-5.77341690489934
POLR1A,0.752135186767914
CSTF2,-0.776813645734036
ANKRD54,-0.883478583557206
RABGAP1,0.652530844759149
FH,-0.794077451816081
