,sample_name,sample,compound,dose,replicate
224,MDA_TOR1_0p1uM-3,MDA,TOR1,0.1,3
225,MDA_TOR1_10uM-1,MDA,TOR1,10.0,1
226,MDA_TOR1_10uM-2,MDA,TOR1,10.0,2
227,MDA_TOR1_10uM-3,MDA,TOR1,10.0,3
228,MDA_TOR1_1uM-1,MDA,TOR1,1.0,1
229,MDA_TOR1_1uM-2,MDA,TOR1,1.0,2
230,MDA_TOR1_1uM-3,MDA,TOR1,1.0,3
231,MDA_TOR2_0p1uM-1,MDA,TOR2,0.1,1
232,MDA_TOR2_0p1uM-2,MDA,TOR2,0.1,2
233,MDA_TOR2_0p1uM-3,MDA,TOR2,0.1,3
234,MDA_TOR2_10uM-1,MDA,TOR2,10.0,1
235,MDA_TOR2_10uM-2,MDA,TOR2,10.0,2
236,MDA_TOR2_10uM-3,MDA,TOR2,10.0,3
237,MDA_TOR2_1uM-1,MDA,TOR2,1.0,1
238,MDA_TOR2_1uM-2,MDA,TOR2,1.0,2
239,MDA_TOR2_1uM-3,MDA,TOR2,1.0,3
240,MDA_ZOTA_0p1uM-1,MDA,ZOTA,0.1,1
241,MDA_ZOTA_0p1uM-2,MDA,ZOTA,0.1,2
242,MDA_ZOTA_0p1uM-3,MDA,ZOTA,0.1,3
243,MDA_ZOTA_10uM-1,MDA,ZOTA,10.0,1
244,MDA_ZOTA_10uM-2,MDA,ZOTA,10.0,2
245,MDA_ZOTA_10uM-3,MDA,ZOTA,10.0,3
246,MDA_ZOTA_1uM-1,MDA,ZOTA,1.0,1
247,MDA_ZOTA_1uM-2,MDA,ZOTA,1.0,2
248,MDA_ZOTA_1uM-3,MDA,ZOTA,1.0,3
