gene,dataset_name,dataset_dose_name,dataset_dose_units,dataset_response_name,dataset_response_units,dataset_doses,dataset_ns,dataset_stdevs,dataset_means,bmds_model_index,model_name,bmr,distribution,direction,confidence_level,tail_probability,degree,model_class,bmdl,bmd,bmdu,aic,loglikelihood,p_value1,p_value2,p_value3,p_value4,model_dof,residual_of_interest,residual_at_lowest_dose,recommended,recommendation_bin,recommendation_notes,selected
ARHGAP10_26108,ARHGAP10_26108,,,,,"0.0,0.1,1.0,10.0","12,3,3,3","0.5838365152056821,0.7014970281145212,0.13238946946507604,0.6610985337886861","-0.10109010897255037,-0.4190176605599715,-0.25955259258127833,-1.120240485190038",3,Hill,1.0 Standard Deviation,Normal + Constant variance,Down (↓),0.95,0.01,0,frequentist_restricted,0.26936566840178755,4.572903924368854,124.26904606859422,40.820030534518594,-16.410015267259297,0.02407353889909436,0.08015868295294692,0.08015868295294692,0.3647886344756136,1.0,0.09704174510459895,0.36041585811781063,True,Recommended - Lowest BMDL,BMD/BMDL ratio > 3.0,False
ARHGAP19_17445,ARHGAP19_17445,,,,,"0.0,0.1,1.0,10.0","12,3,3,3","0.29958352769403673,0.18943901244661607,0.21217743250415338,0.3601525968359794","-0.02944223245880177,-0.17891602777908167,-0.12332823179685844,0.6219419522745341",1,Polynomial 2,1.0 Standard Deviation,Normal + Constant variance,Up (↑),0.95,0.01,2,frequentist_restricted,2.712360245983039,6.186466217041016,8.460555014137395,9.818364769424653,-1.9091823847123264,0.01383955515712132,0.5141806073180191,0.5141806073180191,0.617208094969005,2.0,0.003942718555209591,0.5441250071287623,True,Recommended - Lowest AIC,,False
ARHGDIA_17417,ARHGDIA_17417,,,,,"0.0,0.1,1.0,10.0","12,3,3,3","0.7014223707381435,1.4341447999977717,0.661319647238476,1.1947863760937358","-0.1363202150398336,-1.2662003334255827,-0.5887130725523653,-2.350761119571933",2,Power,1.0 Standard Deviation,Normal + Constant variance,Down (↓),0.95,0.01,0,frequentist_restricted,2.878918953075699,4.391495611317449,9.97621024010131,60.164220489577886,-27.082110244788943,0.00882890774110845,0.4248368039680209,0.4248368039680209,0.12053637252173732,2.0,-0.05361779629109603,0.8874181024111776,True,Recommended - Lowest AIC,,False
ARL4D_24864,ARL4D_24864,,,,,"0.0,0.1,1.0,10.0","12,3,3,3","0.4815270978209767,1.0651122200270542,0.2542486479677628,0.33878284291081046","-0.07092089854681238,-0.22319809549511213,-0.4190954658618092,-1.1740249464884147",3,Hill,1.0 Standard Deviation,Normal + Constant variance,Down (↓),0.95,0.01,0,frequentist_restricted,0.205624381372624,1.679014558329288,9.939033472999,38.31145049182918,-15.155725245914589,0.010393152446006249,0.06685050143870241,0.06685050143870241,0.7323768778910735,1.0,0.056060388628941665,0.12993733774699393,True,Recommended - Lowest BMDL,BMD/BMDL ratio > 3.0,False
ARL6IP5_445,ARL6IP5_445,,,,,"0.0,0.1,1.0,10.0","12,3,3,3","0.19710836810511867,0.410038354591356,0.2358644939809349,1.24940644825368","-0.01250191654188578,0.14781603367875232,-0.279194979395934,-1.1536701559667384",0,Linear,1.0 Standard Deviation,Normal + Nonconstant variance,Down (↓),0.95,0.01,1,frequentist_unrestricted,1.4356403401219284,1.5907049179077148,3.266313625634583,15.991114945651546,-3.9955574728257726,4.704495808915965e-06,8.246525529842508e-05,0.2840585960929045,0.3282579692664681,2.0,-0.5296556546402196,-0.24621941708029121,True,Recommended - Lowest AIC,,False
ARMC5_26857,ARMC5_26857,,,,,"0.0,0.1,1.0,10.0","12,3,3,3","0.5844959246297332,0.6497131008692395,0.4844788112395424,0.4168592641456113","-0.10302432645519839,0.40990116253042613,-0.1960704288860352,-1.0829130035532128",0,Linear,1.0 Standard Deviation,Normal + Constant variance,Down (↓),0.95,0.01,1,frequentist_unrestricted,3.1721352018058298,5.020403861999512,11.907645897971719,39.62707147175229,-16.813535735876144,0.06358525039970964,0.724158201883909,0.724158201883909,0.2897307878451878,2.0,-0.2440022143731122,-0.5798585949426072,True,Recommended - Lowest AIC,,False
ARMC6_24630,ARMC6_24630,,,,,"0.0,0.1,1.0,10.0","12,3,3,3","0.534409220953436,0.1541718526415942,0.42949878511392264,0.43555514353654107","-0.08554758506945291,0.008874438472097632,-0.3883234458526538,-1.3388311410828144",0,Linear,1.0 Standard Deviation,Normal + Constant variance,Down (↓),0.95,0.01,1,frequentist_unrestricted,2.4130984043461807,3.4917080402374268,6.228833262894577,31.105766542079174,-12.552883271039587,0.0019647315290869383,0.11896621108237804,0.11896621108237804,0.717383597749403,2.0,-0.6605292921212722,0.0710701666671482,True,Recommended - Lowest AIC,,False
ARMH1_19954,ARMH1_19954,,,,,"0.0,0.1,1.0,10.0","12,3,3,3","1.1724531525624013,0.9342673946656824,1.8066150915015438,0.898404100046716","-0.44886124997782934,-0.6708801817280253,0.4468552652385973,2.3958101756134433",0,Linear,1.0 Standard Deviation,Normal + Constant variance,Up (↑),0.95,0.01,1,frequentist_unrestricted,2.646774954918839,3.9288437366485596,7.525489970325806,70.29109627024258,-32.14554813512129,0.019596421440949197,0.5629530235644005,0.5629530235644005,0.5984369714294875,2.0,0.8670511182942494,-0.15882522027307003,True,Recommended - Lowest AIC,,False
ARRB1_22993,ARRB1_22993,,,,,"0.0,0.1,1.0,10.0","12,3,3,3","0.3503674534068277,0.46503666981179675,0.14307696126773317,0.6285411984782865","-0.03873670027007702,0.14890784656373487,-0.4357282971521494,-0.9226258686129034",2,Power,1.0 Standard Deviation,Normal + Constant variance,Down (↓),0.95,0.01,0,frequentist_restricted,2.7947407030616516,4.21937455442955,9.91161126893205,24.79847704853959,-9.399238524269794,0.0043826424771979955,0.1609335637569268,0.1609335637569268,0.22761889805279245,2.0,-1.3422247836199197,0.12722519780619243,True,Recommended - Lowest AIC,,False
ASB8_24963,ASB8_24963,,,,,"0.0,0.1,1.0,10.0","12,3,3,3","0.30058541599914435,0.22571048354134432,0.2924729453767035,0.22565152176268263","-0.029736056331666066,-0.26639202836435305,-0.28133915730482123,-0.8405159179099485",3,Hill,1.0 Standard Deviation,Normal + Constant variance,Down (↓),0.95,0.01,0,frequentist_restricted,0.19648711079031905,1.0991489576214122,9.577764415012537,11.792008365256876,-1.8960041826284377,0.006901139531811262,0.6967628996827182,0.6967628996827182,0.21449282709214212,1.0,0.20025205831650347,0.46372980338430403,True,Recommended - Lowest BMDL,BMD/BMDL ratio > 3.0,False
