gene,bmd,bmdl,bmdu,model,aic,pvalue,converged,error
C18orf32_26930,,,,,,,False,No valid model fit
C19orf48_21955,5.941972732543945,2.8688475096713533,7.933864051739547,Polynomial 2,23.377559648254806,0.1541575811512529,True,
C19orf54_13155,,,,,,,False,No valid model fit
C1D_859,,,,,,,False,No valid model fit
C1GALT1_14097,,,,,,,False,No valid model fit
C1QL1_14428,5.761365294456482,2.586375446375626,-9999.0,Polynomial 2,55.73691165475235,0.1968484225520647,True,
C1QTNF6_15336,,,,,,,False,No valid model fit
C2CD5_14220,,,,,,,False,No valid model fit
C2orf81_16870,,,,,,,False,No valid model fit
C4B_33749,,,,,,,False,No valid model fit
C5orf22_24194,,,,,,,False,No valid model fit
C5orf24_24924,5.298211574554443,3.294029552670576,13.402517661669764,Linear,40.98062851984986,0.38035759410646464,True,
C5orf63_11408,,,,,,,False,No valid model fit
C8G_91020,4.836171865463257,3.0884161276207878,11.019416409734568,Linear,66.16950112615937,0.19332494593398875,True,
C8orf44_21589,,,,,,,False,No valid model fit
C8orf76_34011,,,,,,,False,No valid model fit
CA12_20197,,,,,,,False,No valid model fit
CA2_908,,,,,,,False,No valid model fit
CABCOCO1_24887,,,,,,,False,No valid model fit
CABLES1_13564,,,,,,,False,No valid model fit
CACHD1_12329,,,,,,,False,No valid model fit
CACUL1_18529,,,,,,,False,No valid model fit
CADM1_20719,,,,,,,False,No valid model fit
CADM4_19183,,,,,,,False,No valid model fit
CALCOCO1_18741,3.5954643108142936,0.38044040561552117,10.024448758684237,Hill,37.213388750562196,0.15882649339721,True,
CALHM2_20090,,,,,,,False,No valid model fit
CAMK2D_26958,5.920623540878296,2.535286809632166,7.894665694387939,Polynomial 2,34.102824957101916,0.7371786491727315,True,
CAMKV_26160,,,,,,,False,No valid model fit
CAMLG_12796,5.746884346008301,3.481168996358996,16.30747544127977,Linear,40.67004709894859,0.5527407178941925,True,
CAMSAP1_25581,,,,,,,False,No valid model fit
CAPG_20144,,,,,,,False,No valid model fit
CAPN2_12803,,,,,,,False,No valid model fit
CAPN3_14633,,,,,,,False,No valid model fit
CAPN5_88123,,,,,,,False,No valid model fit
CAPN7_13495,,,,,,,False,No valid model fit
CAPZA1_23364,,,,,,,False,No valid model fit
CARF_15182,,,,,,,False,No valid model fit
CARM1_22681,,,,,,,False,No valid model fit
CARNMT1_19411,,,,,,,False,No valid model fit
CARS1_14910,,,,,,,False,No valid model fit
CASC1_88953,,,,,,,False,No valid model fit
CASP8_989,,,,,,,False,No valid model fit
CAST_28247,,,,,,,False,No valid model fit
CAT_999,,,,,,,False,No valid model fit
CAVIN1_21319,3.126499652862549,2.206549067085159,5.284706606284336,Linear,41.20892588666419,0.9832138993130565,True,
CBLL1_20376,,,,,,,False,No valid model fit
CBR1_1006,,,,,,,False,No valid model fit
CBSL_33992,0.6170518402948609,0.21718057831940896,2.9492130744124205,Hill,20.133092613255187,0.62534976880758,True,
CBS_22126,,,,,,,False,No valid model fit
CBWD1_1009,0.9163308808532507,0.17724281690370058,9.446766506381088,Hill,1.3630414671694622,0.2177660455889039,True,
CBWD1_26970,3.158535957336426,1.839572335176791,7.287298424004458,Linear,33.857356116785006,0.9630917474229544,True,
CBX6_1013,,,,,,,False,No valid model fit
CBX7_11965,,,,,,,False,No valid model fit
CBX8_15659,,,,,,,False,No valid model fit
CC2D1B_25383,4.99143123626709,3.159459572059484,11.763416853652789,Linear,29.172049674786273,0.21587270297397287,True,
CC2D2A_10646,,,,,,,False,No valid model fit
CCDC106_91192,,,,,,,False,No valid model fit
CCDC113_16231,,,,,,,False,No valid model fit
CCDC115_22065,,,,,,,False,No valid model fit
CCDC117_14458,,,,,,,False,No valid model fit
CCDC124_89531,,,,,,,False,No valid model fit
CCDC137_20301,,,,,,,False,No valid model fit
CCDC138_24294,,,,,,,False,No valid model fit
CCDC144A_18451,4.134054183959961,2.752385126162199,8.209051792791152,Linear,41.2072155869199,0.10634811716607695,True,
CCDC14_11522,,,,,,,False,No valid model fit
CCDC159_19080,,,,,,,False,No valid model fit
CCDC170_16604,,,,,,,False,No valid model fit
CCDC180_18735,,,,,,,False,No valid model fit
CCDC32_15195,2.4656736850738525,2.348112469616263,4.312153571899302,Linear,40.69348424118771,0.37465730750293846,True,
CCDC43_24330,,,,,,,False,No valid model fit
CCDC47_11663,,,,,,,False,No valid model fit
CCDC66_21141,,,,,,,False,No valid model fit
CCDC78_22438,,,,,,,False,No valid model fit
CCDC82_14662,3.8573527336120605,2.6096279720036097,7.299284941220785,Linear,19.83713248178939,0.1409465205995517,True,
CCDC84_20211,,,,,,,False,No valid model fit
