gene,model_name,recommended,bmd,bmdl,bmdu,aic,p_value1,p_value2,p_value3,p_value4,bmr,loglikelihood
TDRKH_13741,Linear,True,3.1905746459960938,2.2444244200121592,5.441694224912114,-1.536410320666822,0.0010147458993954306,0.2854525598723401,0.2854525598723401,0.3069687932273524,1.0 Standard Deviation,3.768205160333411
TEC_19874,Linear,True,4.469757080078125,2.917617349484734,9.451560994947316,55.992355459794396,0.0075989257938828825,0.0607161924097952,0.0607161924097952,0.8603416991388866,1.0 Standard Deviation,-24.996177729897198
TEDC1_20289,Linear,True,4.434077739715576,2.9005431868981373,9.311280848059335,41.72757524636991,0.008584237760813185,0.1299746090208035,0.1299746090208035,0.4495867485356315,1.0 Standard Deviation,-17.863787623184955
TENT2_19346,Polynomial 2,True,6.816105842590332,3.148973630933165,10.030364927963287,51.372330156352064,0.10569333668935421,0.9073248974055735,0.9073248974055735,0.7708705956464155,1.0 Standard Deviation,-22.686165078176032
TESMIN_15697,Polynomial 2,True,5.6298792362213135,2.4325357546995656,7.325878131016181,31.81090799943667,0.0009209227284618926,0.28042267701888757,0.28042267701888757,0.3455748383802073,1.0 Standard Deviation,-12.905453999718334
TEX2_15987,Linear,True,4.602901935577393,2.9806854781406007,9.992757692436754,8.187874327404185,0.0632278489390824,0.6831094250822045,0.6831094250822045,0.5836327151532421,1.0 Standard Deviation,-1.0939371637020923
TFDP1_7045,Hill,True,1.3283592468717975,0.20351107750729913,9.738723382596321,4.217827678478763,0.01968275469017522,0.5895004053864774,0.5895004053864774,0.39042053147353184,1.0 Standard Deviation,1.8910861607606184
TGFBR3_27950,Power,True,4.82192432684395,3.0818929259868657,10.953751985269786,17.19811302581563,0.013549514613807268,0.25048400949928873,0.25048400949928873,0.19730542760431014,1.0 Standard Deviation,-5.599056512907816
TGFBRAP1_26440,Hill,True,0.13054313224350145,0.0421043708240425,0.822210692590798,20.430777225143835,4.201814854487562e-05,0.23401611579079173,0.23401611579079173,0.9306165309069229,1.0 Standard Deviation,-6.2153886125719175
TGM1_20398,Linear,True,4.068940877914429,2.7195948948348474,7.986358590998616,66.18969549844782,0.015908894791163974,0.37258464471564245,0.37258464471564245,0.5727234962950412,1.0 Standard Deviation,-30.09484774922391
