"","MDA_DACTO_1uM-1","MDA_DACTO_1uM-2","MDA_DACTO_1uM-3","MDA_DMSO1-1","MDA_DMSO1-2","MDA_DMSO1-3","MDA_DMSO1-4","MDA_DMSO1-5","MDA_DMSO1-6","MDA_DMSO2-1","MDA_DMSO2-2","MDA_DMSO2-3","MDA_DMSO2-4","MDA_DMSO2-5","MDA_DMSO2-6"
"TACC1_17343",33.6241865995315,45.5849507310374,18.9486127399199,80.8536532182414,59.9919273813809,64.5759166773514,71.3856864259613,66.7534695360667,59.7799094178647,102.367854852579,97.8846779561832,111.687723699408,83.0414914947398,91.3933726489164,114.702908410321
"STK4_17344",111.632299510444,158.962905113361,118.744639836832,176.680205180602,179.118754610123,193.727750032054,228.434196563076,221.410022718637,257.513455953879,164.408979005657,139.379269698478,204.388534369917,118.835237828679,158.625278965361,168.302398321686
"TFPI_17345",1527.88303908271,873.127133232948,1763.48422566188,509.078557300038,1231.54856638635,1118.26587416877,633.385726833984,832.105130157504,700.497912922158,541.82581760355,527.726089850727,284.803695433491,880.526159814914,571.471203689776,424.50796009801
"TAF10_17346",180.225640173489,475.719870449545,356.233919510495,277.497723391001,182.546864746202,214.203040685848,417.930745984719,358.882514436477,513.494093717556,574.914417151859,501.126992580025,495.893493225373,279.191221404729,528.400763705804,420.220000905101
"FBXL16_17347",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"USP27X_17348",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LRRC10B_17349",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KLHL13_17350",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP7B1_17352",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KCNK6_17353",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NTN1_17354",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SORCS1_17356",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C21orf91_17357",0,11.6884489053942,0,0,0,0,14.9260980708828,11.8966579371208,13.0289546167141,0,13.831530580765,0,0,0,0
"WT1_17358",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAM32A_17359",789.495901356999,2105.0896478615,1350.40446793163,1567.16340188443,1335.24889800273,1663.22361003129,1884.58212164538,1713.11874294539,2121.42037523909,2040.11896590039,1995.99625919347,1621.70574811541,1855.54780995143,2221.80440405124,1879.19811629246
"MTCP1_17361",56.4886334872129,33.8965018256432,31.5810212331999,27.9494109890217,41.9943491669666,54.3382713504542,32.4480392845279,29.0807194018508,25.2915001383274,32.0545808124238,26.599097270702,23.4544219768758,30.0667469205092,21.0099707238888,28.9437245521371
"SPRR3_17362",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C6orf15_17364",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DENND2B_17365",107.597397118501,57.2733996364316,99.7960270969117,71.8699139717701,55.7067897112822,57.4883160664226,42.1824510698862,39.6555264570693,62.0791367031672,45.4968243789241,70.2216167946532,54.7269846127101,62.9969935477337,32.5654546220277,58.9594389025014
"OR9G4_17366",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KLF15_17367",112.977266974426,36.2341916067221,39.1604663291679,78.8572667190255,98.5581664122686,107.101520342924,47.3741373554107,53.5349607170436,49.0501820864531,22.748412189462,27.66306116153,39.0907032947929,94.4954903216005,35.716950230611,34.3036735432736
"IGSF1_17368",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OR2AT4_17370",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HYI_17372",416.93991383419,201.04132117278,195.802331645839,248.550119152372,406.23105112535,318.154516312804,245.307176991031,311.956808128945,136.420818927948,201.633653497504,315.997275575939,246.829869375693,299.235719351735,139.716305313861,164.014439128777
"UFD1_17373",551.436660232316,808.84066425328,856.477295844382,948.283587127522,1013.86357274534,1132.44107539063,1133.08553181571,1068.71643801802,1197.13100654749,1027.81462346933,1056.51614359228,919.189966046131,1059.49489148461,1193.36633711689,1115.94137995462
"SORL1_17376",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SOD3_17377",34.9691540635127,111.040264601245,92.2165820009438,60.889788226083,56.563817245302,50.4007154554938,54.5127059980068,76.0064257093828,70.5096367492763,73.4153302478093,56.3900862138881,59.1944935606865,32.9302466272244,65.1309092440554,43.9515817273193
"SPAG5_17378",477.463449713347,628.838551110209,699.83543052771,1252.73252825794,1224.69234611419,1447.44554698746,1323.23104202305,1101.10178462462,1244.64837044375,989.555930241598,1010.76569628667,963.865055525894,1231.30487388752,1175.50786200158,1170.61285966421
"HEXIM1_17379",30.934251671569,143.767921536349,80.8474143569918,98.8211317111839,63.4200375174598,66.9384502143276,138.877608137779,100.460667024576,107.297273314116,207.837765912812,178.745933659117,163.064076601136,50.1112448675154,119.756833126166,129.710765585503
"CDCA7L_17380",883.643623835687,738.709970820914,840.055164803118,966.251065620465,1066.99927985456,978.088884308176,1078.57282581771,1087.22235036465,738.051958582098,999.896117600445,989.486418470113,1052.09835724843,1055.19964192454,884.51976747572,746.1048995662
"QTRT2_17381",745.111975045617,295.717757306474,210.961221837775,468.152634066114,815.89021238678,698.522415765984,421.175549913172,414.400251476374,370.1755929337,287.457208575929,313.869347794283,266.933659641586,546.928443982597,398.138945217693,397.708215142328
"OR10A4_17382",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KCNJ11_17384",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LRRC42_17385",0,32.7276569351038,0,20.9620582417663,20.5686608164734,46.4631595605333,51.9168628552446,54.8568115989459,45.2181366109489,44.4628056430394,32.9828806156704,22.3375447398817,0,33.6159531582221,19.2958163680914
"AP4E1_17387",18.8295444957376,0,0,18.9656717425504,35.1381288948088,33.0754695176678,12.9792157138112,26.4370176380462,0,12.4082248306156,21.2792778165616,0,37.2254961872972,0,13.9358673769549
"LRRIQ1_17388",18.8295444957376,0,12.63240849328,21.9602514913742,19.7116332824537,22.0503130117785,11.68129414243,11.8966579371208,9.19690914120995,12.4082248306156,14.8954944715931,14.5194040809231,15.7492483869334,0,0
"CCL26_17389",0,0,0,0,9.42730287421699,0,0,0,0,0,0,0,0,0,0
"GIPC3_17390",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STK3_17392",314.722386571615,216.236304749793,242.542243070975,415.248391836894,447.368372758297,354.38003054644,337.45960855909,377.38842678311,328.023092703155,322.613845596007,306.421600558487,341.76443452019,345.051714659178,349.816012552749,377.340408976009
"BEND7_17393",511.087636312878,187.015182486307,281.702709400143,173.685625431778,261.393397876017,254.366110814445,149.260980708828,175.145241852056,167.843591827082,169.579072685081,247.903586562942,187.635375815006,395.162959526693,260.523636976221,221.901888233051
"CDHR3_17394",20.1745119597189,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC79999_17395",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SEMA3D_17396",63.2134708071192,15.1949835770125,35.3707437811839,30.9439907378455,66.8481476535387,63.0008943193672,37.6397255700523,34.3681229294601,46.7509548011506,19.6463559818081,20.2153139257335,27.9219309248521,28.6349970671517,29.4139590134444,37.5196429379555
"C2orf16_17397",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IQCG_17398",355.071410491052,126.235248178258,219.803907783071,148.73079419158,193.688222688458,174.039970557252,120.057745352753,163.909509355886,146.384137164258,101.333836116694,104.268461301152,93.8176879075031,170.378232549552,88.2418770403331,88.9751532528658
"LAT_17399",63.2134708071192,15.1949835770125,40.4237071784959,21.9602514913742,24.8537984865721,22.8378241907706,14.2771372851923,18.5059123466323,11.4961364265124,13.4422435665003,23.4072055982177,0,27.2032472137941,11.5554838981389,11.7918877805003
"MAP7D1_17400",68.5933406630442,127.404093068797,116.218158138176,126.770542700206,77.9895055957951,74.8135620042485,144.718255208994,104.426219670283,103.465227838612,229.55215936639,180.873861440773,274.751800300545,113.108238415249,135.514311169083,135.07071457664
"NOP9_17401",39.0040564554565,16.3638284675519,15.158890191936,19.9638649921584,31.7100187587299,40.1630701285966,16.8729804279545,15.2012851418766,13.0289546167141,16.5442997741542,15.9594583624212,30.1556853988403,35.7937463339396,11.5554838981389,15.0078571751822
"NPEPPS_17402",307.997549251708,247.795116794357,166.747792111296,296.463395133552,246.823929797681,207.902951253912,226.487314206005,181.754496261568,196.200728345812,296.763377198891,244.711694890458,348.465697942154,226.216476830498,263.675132584805,293.72520471428
"ACTC1_17403",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SYT3_17404",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MCHR2_17405",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VMA21_17406",0,0,0,0,0,7.8751117899209,7.78752942828669,9.25295617331617,9.19690914120995,18.6123372459235,14.8954944715931,15.6362813179172,0,12.6059824343333,11.7918877805003
"RNF215_17407",29.5892842075877,61.9487791985893,42.9501888771519,22.9584447409821,17.9975782144143,11.8126676848813,22.7136274991695,30.4025702837531,33.7220001844365,24.8164496612313,38.3027000698108,43.5582122427693,28.6349970671517,28.3634604772499,31.0877041485917
"AGAP6_17408",255.543818156439,412.602246360416,116.218158138176,391.291753846304,363.379674424364,434.706170803634,456.868393126153,568.395879217993,531.887911999975,471.512543563395,443.672942475309,297.089345040426,244.829224924147,369.775484740443,433.083878483829
"RSPH9_17409",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1QTNF5_17411",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LILRB4_17412",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZNF805_17413",227.299501412833,84.1568321188383,108.638713042208,139.747054945109,188.54605748434,137.026945144624,90.2055492109875,115.001026725501,108.063682409217,103.401873588464,113.844136318604,146.310918046225,191.854480349916,110.302346300416,120.062857401457
"POU3F3_17414",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZNF749_17415",414.249978906228,195.197096720083,186.959645700543,312.434487127278,389.947527978976,376.430343558219,255.69054956208,291.468119459459,181.638955538896,176.817203836273,194.705392021538,182.050989630036,367.959712312899,226.907683817999,207.966020856096
"GOLGA8B_17416",221.919631556908,315.588120445644,190.749368248528,272.506757142962,181.689837212182,227.590730728714,204.422647492526,202.904110372005,213.828137533131,279.185058688852,284.078358851097,263.583027930604,256.283223751007,209.049208702694,256.205561776324
"ARHGDIA_17417",88.7678526227631,75.9749178850624,97.2695453982557,102.813904709616,125.12601996688,137.026945144624,90.8545099966781,91.8686362922106,110.362909694519,47.5648618506933,78.7333279212778,71.4801431676214,78.7462419346671,89.2923755765275,81.4712246652747
"UPF3A_17420",168.120932997657,132.079472630955,189.486127399199,98.8211317111839,82.2746432658938,92.1388079420745,67.491921711818,74.6845748274805,38.3204547550415,105.469911060233,185.129717004086,136.259022913278,183.263981229771,93.4943697213053,88.9751532528658
"POLG_17422",398.110369338453,386.887658768548,308.230767236031,634.850906750636,709.618798168334,705.610016376913,639.226373905199,532.04497996568,430.721911446666,437.389925279202,470.272039746011,483.607843618438,525.452196182233,451.71437056361,538.138878710104
"TRAF3IP1_17423",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TST_17424",293.202907147914,185.846337595768,261.490855810895,238.568186656292,369.378867162502,323.667094565749,218.699784777718,222.731873600539,188.536637394804,183.021316251581,169.170258641664,182.050989630036,296.37221964502,214.301701383666,212.253980049005
"LCOR_17425",1336.89765919737,528.317890523819,794.57849422731,1239.75601601303,1805.75701417956,1716.77437020276,859.873041039989,888.944718079304,699.731503827057,491.158899545203,595.819778863724,703.632659306273,1544.85809177283,682.824048526387,656.057756515107
"NAT9_17426",47.0738612393441,165.975974456598,137.693252576752,115.790416954519,83.1316707999135,96.076363837035,127.196313995349,93.851412615064,128.756727976939,138.558510608541,156.402691951727,139.609654624261,97.3589900283157,153.372786284388,174.73433711105
"ZNF337_17427",345.656638243184,188.184027376847,174.327237207264,103.812097959224,189.40308501836,169.314903483299,96.6951570678931,148.70822421401,165.544364541779,102.367854852579,131.931522462682,94.9345651444971,160.355983576049,89.2923755765275,116.846888006776
"TTC32_17429",0,12.8572937959336,0,0,0,9.45013414790508,11.0323333567395,15.2012851418766,9.19690914120995,0,0,0,0,14.7069795067222,10.719897982273
"SLC39A1_17430",246.12904590857,275.847394167303,142.746215974064,356.354990110027,236.539599389445,190.577705316086,212.859137706503,196.294855962493,211.528910247829,493.226937016972,501.126992580025,648.905674693563,393.731209673335,485.330323721832,519.91505214024
"HECTD1_17431",381.970759770678,490.914854026557,99.7960270969117,432.217677080229,391.661583047015,415.805902507823,455.570471554771,438.854492791567,403.897593118137,470.47852482751,428.777448003716,502.594756647338,325.007216712171,422.300411550165,469.531531623557
"SAMM50_17433",208.469956917095,388.056503659088,164.22131041264,282.488689639041,206.543635698754,228.378241907706,315.394941845611,273.623132553778,339.519229129667,352.600388936661,322.381058920908,259.115518982627,244.829224924147,345.614018407971,325.884898661099
