,Unnamed: 0,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1537,PDIA6_5040,789.9793832738201,-1.22136969305574,0.227946651767346,-5.3581383345008895,8.40838515372936e-08,5.65409443135232e-06
1546,PGAM1_5090,243.202581928293,-1.5112912465529298,0.27934432433501,-5.4101376505523096,6.2976324086695e-08,4.46615701637774e-06
1547,PGF_5091,60.5183849453636,1.09057276123129,0.307979929673262,3.54105140029186,0.000398535931016989,0.00592462693326287
1573,PKMYT1_5163,88.3919064637689,-1.5558265470062602,0.21034245344865402,-7.3966359215546795,1.39677825723496e-13,4.42131420058422e-11
1594,PLSCR3_5215,56.570917677379,0.819666804976023,0.235560335024773,3.47964696556328,0.000502074908173011,0.0070275894426910105
1597,PMS2_5227,108.192915288269,0.76452320024186,0.247111482593337,3.0938392349011496,0.00197584521233062,0.0197858944179219
1609,POLR2K_5263,1688.7139113042801,-0.540784103469271,0.185489440717911,-2.91544414267594,0.00355182680105395,0.0304462405707253
1615,POR_5283,194.53583872679698,0.4954784573373371,0.167392427813931,2.9599813074465797,0.00307657708871068,0.0273416092497698
1639,PPP2R5A_5364,56.2704172958572,1.04208441229035,0.31829091774853,3.27399983531312,0.00106036673111079,0.0123420981491981
1645,PRDX4_5397,662.082042931201,-1.03898368747326,0.26137436736861497,-3.97507872685921,7.0355978815502e-05,0.00150425023569619
1680,PSMB3_5511,54.8021559632666,0.996922870799625,0.32288385423832106,3.08755875437424,0.0020180787374256,0.0201311497727206
1685,PSMD11_5524,97.3237443981935,-0.634120442182675,0.198326641883332,-3.1973538005837,0.00138694697940205,0.0150220581985044
1686,PSMD14_5527,495.638774419326,-1.10764936331245,0.279798903005846,-3.9587337599008103,7.534817237518449e-05,0.00157975538139765
1691,PSME3_5538,70.7238644508371,-1.38682744196446,0.46764663801496,-2.9655456261830095,0.00302146523421288,0.0269687591537928
